"m","n","cor","mkl","openblas","naive"
75,100,0.0017,0.0882,0.2013,0.00209999999999999
375,500,0.1298,0.16105,0.32325,0.2419
750,1000,1.0457,0.3925,0.39425,1.8351
1500,2000,8.01355,0.980100000000002,0.64915,14.5927
3000,4000,69.14675,4.08074999999999,2.91475,117.1335
6000,8000,553.329,19.8539999999998,12.3645000000001,932.0545
