"m","n","missing","cor","mkl","openblas","naive"
2000,2000,0,11.4258,1.015,0.752500000000001,19.4997
2000,2000,0.05,0.0478999999999985,1.026,0.805700000000002,27.0868
2000,2000,0.1,0.0503000000000043,1.02199999999999,0.746799999999996,33.3468
2000,2000,0.2,0.0501999999999953,1.01189999999999,0.811500000000001,42.6654
2000,2000,0.4,0.0506999999999834,1.0489,0.806999999999994,60.7264
2000,2000,0.8,0.0522999999999684,1.01500000000001,0.740700000000015,22.5233
